rank,Country,worldPercentage,growthRate,density,CCA3,Capital,Continent,2023 Population,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km²)
89,Czech Republic,0.130479821462473,0.0001,135.9521,CZE,Prague,Europe,10495295.0,10493986.0,10530953.0,10523798.0,10464749.0,10234710.0,10301192.0,10270060.0,9795744.0,78865.0
90,Azerbaijan,0.1294523730329677,0.0053,125.991,AZE,Baku,Asia,10412651.0,10358074.0,0.0,9863480.0,9237202.0,8190337.0,7427836.0,6383060.0,5425317.0,86600.0
91,Greece,0.1285650357282933,-0.0042,80.2271,GRC,Athens,Europe,10341277.0,10384971.0,10512232.0,10806641.0,11033783.0,11038109.0,10302255.0,9307148.0,8544873.0,131990.0
92,Papua New Guinea,0.12842397975470582,0.0185,22.8104,PNG,Port Moresby,Oceania,10329931.0,10142619.0,9749640.0,8682174.0,7583269.0,5508297.0,3864972.0,3104788.0,2489059.0,462840.0
93,Portugal,0.12740048477131374,-0.0023,111.8666,PRT,Lisbon,Europe,10247605.0,10270865.0,10298192.0,10365435.0,10588401.0,10300626.0,10007346.0,9785252.0,8683631.0,92090.0
94,Hungary,0.12626460251476546,0.019,111.2891,HUN,Budapest,Europe,10156239.0,9967308.0,9750573.0,9844246.0,9986825.0,10202055.0,0.0,0.0,10315366.0,93028.0
95,Tajikistan,0.12610676304352736,0.0192,73.0855,TJK,Dushanbe,Asia,10143543.0,9952787.0,9543207.0,8524063.0,7621779.0,6272998.0,5417860.0,4045965.0,2993019.0,143100.0
96,United Arab Emirates,0.11831583856970068,0.008,134.0027,ARE,Abu Dhabi,Asia,9516871.0,9441129.0,9287289.0,8916899.0,8481771.0,3275333.0,1900151.0,1014048.0,298084.0,83600.0
97,Belarus,0.11808418900546164,-0.0039,46.794,BLR,Minsk,Europe,9498238.0,9534954.0,9633740.0,9700609.0,9731427.0,10256483.0,10428525.0,9817257.0,9170786.0,207600.0
98,Israel,0.11405965545550531,0.0151,423.9612,ISR,Jerusalem,Asia,9174520.0,9038309.0,8757489.0,8007778.0,7328445.0,6116958.0,4803254.0,3744608.0,2907307.0,20770.0
